path	sentence
common_voice_en_27710027.mp3	Joe Keaton disapproved of films, and Buster also had reservations about the medium.
common_voice_en_699711.mp3	She'll be all right.
common_voice_en_21953345.mp3	six
common_voice_en_27340672.mp3	It is a busy market town that serves a large surrounding area.
common_voice_en_39751578.mp3	For a discussion, see mass in general relativity.
common_voice_en_17263741.mp3	Do you mean it?
common_voice_en_17561821.mp3	How is Mozilla going to handle ambiguities like queue and cue?
common_voice_en_59751.mp3	I guess you must think I'm kinda batty.
common_voice_en_17914141.mp3	No one near the remote machine you could ring?
common_voice_en_18902772.mp3	Groves started writing songs when she was four years old.
common_voice_en_18092916.mp3	My mother has Type Two diabetes.
common_voice_en_17804843.mp3	But it was not to be.
common_voice_en_40043931.mp3	She has shown fine bindings in exhibitions throughout her career.
common_voice_en_38028701.mp3	The Sacramento Valley Rail Station is just a short walk away.
common_voice_en_18242227.mp3	What have I missed?
common_voice_en_17681332.mp3	The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.
common_voice_en_665631.mp3	There was nothing to hold him back except himself.
common_voice_en_39570983.mp3	The drinking water supply comes from an intake pipe southwest of town.
common_voice_en_17572796.mp3	Does the sensor still have the same deficits when it comes to interoperability with other vendors?
common_voice_en_36734620.mp3	It might be in this writer's Top Ten!
common_voice_en_18373122.mp3	Mrs. Lewis was selected as the new commissioner.
common_voice_en_456493.mp3	The electrician looked puzzled.
common_voice_en_496376.mp3	I will tell her what we decided.
common_voice_en_23730890.mp3	Enoxaparin belongs to the class of drugs known as low molecular weight heparins.
common_voice_en_17925871.mp3	I guess, it's a never-ending story.
common_voice_en_18274681.mp3	Good things come in small packages.
common_voice_en_17432473.mp3	Sorry, we didn't even know you were here.
common_voice_en_17396480.mp3	What should I say?
common_voice_en_20141506.mp3	It is a member theater of the Union of the Theatres of Europe.
common_voice_en_40269002.mp3	She graduated from the University of New Brunswick.
common_voice_en_18392685.mp3	Cristiano Ronaldo has won twenty four trophies in his career.
common_voice_en_18041165.mp3	What are you here for this morning?
common_voice_en_39760794.mp3	He was later killed by John Wesley Hardin during the Sutton-Taylor feud.
common_voice_en_572372.mp3	YOU WANNA TAKE THIS OUTSIDE?
common_voice_en_19595713.mp3	The immersion in hot water also kills the silkworm pupa.
common_voice_en_20888935.mp3	She married her business partner, Steve Lane.
common_voice_en_18373188.mp3	Who has already arrived?
common_voice_en_346569.mp3	Do you want me?
common_voice_en_15016096.mp3	That would be funny if he did.
common_voice_en_40052846.mp3	In order to fight poverty one should fight dependency first.
common_voice_en_37916017.mp3	He was the eldest brother of Katharine, Duchess of Kent.
common_voice_en_18178365.mp3	The glow deepened in the eyes of the sweet girl.
common_voice_en_19706560.mp3	Although she had flowers and applause, Mavis said she was not content.
common_voice_en_17390390.mp3	When the user's identity has been accepted by the server, you will be notified.
common_voice_en_1885769.mp3	Add the column and put the sum here.
common_voice_en_37890815.mp3	Senator Gravel threatened a filibuster, and the provision did not pass the Senate.
common_voice_en_17392075.mp3	Hello, Benjamin.
